BPC,CCR,Report Date,Entry,Age,ctznRace,ctznSex,Closed,Unit,Allegation,Finding,ofcrRace,ofcrSex
16-Dec,67138,01-07-2016,Walk In,28,Black,Female,01/29/2016,UNKNOWN COMMAND,Service,Admin. Closure,Unknown,Unknown
16-13,67139,01-07-2016,Walk In,50,Black,Female,03/15/2016,12TH PRECINCT,Demeanor,Not Sustained,White,Male
16-14,67140,01-08-2016,Walk In,44,Black,Male,03/16/2016,12TH PRECINCT,Demeanor,Unfounded,Black,Male
16-14,67140,01-08-2016,Walk In,44,Black,Male,03/16/2016,12TH PRECINCT,Procedure,Exonerated,Black,Male
16-14,67140,01-08-2016,Walk In,44,Black,Male,03/16/2016,12TH PRECINCT,Service,Exonerated,Black,Male
16-15,67141,01-08-2016,Telephone (or TDD),42,Black,Male,04-12-2016,6TH PRECINCT,Demeanor,No Charge,White,Male
16-15,67141,01-08-2016,Telephone (or TDD),42,Black,Male,04-12-2016,6TH PRECINCT,Demeanor,Sustained,White,Male
16-15,67141,01-08-2016,Telephone (or TDD),42,Black,Male,04-12-2016,6TH PRECINCT,Procedure,Exonerated,White,Male
16-15,67141,01-08-2016,Telephone (or TDD),42,Black,Male,04-12-2016,6TH PRECINCT,Procedure,Exonerated,White,Male
16-16,67142,01-08-2016,Telephone (or TDD),28,Other,Male,03-09-2016,AUCTION DETAIL,Procedure,Exonerated,Black,Male
16-16,67142,01-08-2016,Telephone (or TDD),28,Other,Male,03-09-2016,UNKNOWN COMMAND,Harassment,Unfounded,Unknown,Unknown
16-17,67143,01-09-2016,Walk In,28,Black,Female,01/28/2016,UNKNOWN COMMAND,Procedure,Admin. Closure,Unknown,Unknown
16-18,67144,01-09-2016,Telephone (or TDD),24,Black,Male,04-04-2016,9TH PRECINCT,Procedure,Not Sustained,Black,Male
16-18,67144,01-09-2016,Telephone (or TDD),24,Black,Male,04-04-2016,9TH PRECINCT,Service,Unfounded,Black,Male
16-18,67144,01-09-2016,Telephone (or TDD),24,Black,Male,04-04-2016,COMMUNICATIONS OPERATIONS,Demeanor,Unfounded,Unknown,Unknown
16-19,67145,01-09-2016,Telephone (or TDD),41,Black,Male,01/14/2016,UNKNOWN COMMAND,Entry,Admin. Closure,Unknown,Unknown
16-19,67145,01-09-2016,Telephone (or TDD),41,Black,Male,01/14/2016,UNKNOWN COMMAND,Force,Admin. Closure,Unknown,Unknown
16-19,67145,01-09-2016,Telephone (or TDD),41,Black,Male,01/14/2016,UNKNOWN COMMAND,Procedure,Admin. Closure,Unknown,Unknown
